stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,platform_code
5265,5265,Broadway Davey Street East Opposite,42.897608,-78.804016,0,
5270,5270,Broadway Dick Road West,42.905276,-78.727615,0,
5273,5273,Broadway Dick Road East Farside,42.905186,-78.727595,0,
5310,5310,Broadway Emslie Street East,42.890766,-78.849125,0,
5320,5320,Broadway Fillmore Avenue East Farsi,42.892956,-78.839083,0,
5330,5330,Broadway Fillmore Avenue West,42.893123,-78.839019,0,
5380,5380,Broadway Greene Street East,42.897317,-78.810374,0,
5420,5420,broadway st griffith st east,42.899561,-78.791989,0,
5425,5425,broadway st griffith st west,42.899768,-78.791796,0,
5450,5450,Broadway Herman Street West,42.892077,-78.844093,0,
5460,5460,Broadway Hickory Street East,42.888377,-78.859896,0,
5470,5470,Broadway Hirschbeck Street West,42.896676,-78.816822,0,
5490,5490,broadway st jackson ave east,42.90019,-78.786521,0,
5495,5495,Broadway Francis Avenue Opposite,42.900285,-78.787519,0,
5510,5510,Broadway Jefferson Avenue East,42.889681,-78.854141,0,
5520,5520,Broadway Jefferson Avenue West,42.8899,-78.853802,0,
5530,5530,Broadway Johnson Street West Opposi,42.891043,-78.848801,0,
5537,5537,Broadway Lombard St West Opposite,42.893584,-78.837058,0,
5540,5540,Broadway Krupp Avenue East,42.895587,-78.823813,0,
5580,5580,Broadway Lathrop Street West Farsid,42.894814,-78.83021,0,
5590,5590,Broadway Lombard Street East,42.893324,-78.837362,0,
5620,5620,Broadway Memorial Drive East,42.894644,-78.830059,0,
5640,5640,Broadway Michael Loop East,42.89917,-78.795106,0,
5650,5650,Broadway Michael Loop West Opposite,42.899368,-78.795073,0,
5660,5660,Broadway Michigan Avenue East,42.886729,-78.867655,0,
5670,5670,Broadway Michigan Avenue West,42.887048,-78.867104,0,
5690,5690,Broadway Mohr Avenue East,42.895078,-78.827435,0,
5700,5700,Broadway Mortimer Street East,42.889178,-78.856016,0,
5710,5710,Broadway Mortimer Street West Farsi,42.889449,-78.855798,0,
5720,5720,Broadway North Ogden Street East Fa,42.898337,-78.801993,0,
5725,5725,Broadway Norris Avenue West Opposit,42.900757,-78.679702,0,
5730,5730,Broadway North Ogden Street West Op,42.89842,-78.802301,0,
5790,5790,Broadway Penora Street West,42.901588,-78.687304,0,
5810,5810,Broadway Pine Street West,42.887676,-78.864234,0,
5820,5820,Broadway Pratt Street West,42.888988,-78.858236,0,
5830,5830,Broadway Quincy Street East,42.895786,-78.822425,0,
5855,5855,Broadway River Street West,42.901875,-78.701081,0,
5864,5864,broadway st roland st east,42.899893,-78.789345,0,
5866,5866,Broadway Currier Avenue Opposite,42.899965,-78.790196,0,
5880,5880,Broadway Pine Street East,42.887416,-78.864614,0,
5940,5940,Broadway Spring Street East,42.888897,-78.857574,0,
5950,5950,Broadway Stanton Street East,42.891407,-78.846205,0,
5960,5960,Broadway Strauss Street West,42.892727,-78.840991,0,
5970,5970,Broadway ST. John Street East,42.900316,-78.677896,0,
5980,5980,Broadway Sweet Street West,42.894306,-78.833356,0,
